hour,day_of_week,is_weekend,month,is_monsoon,road_type,road_length_m,congestion_score
10,1,0,8,1,secondary,741.9,0.797
8,4,0,1,0,trunk,1898.7,1.0
2,1,0,12,0,residential,1002.7,0.056
20,5,1,8,1,residential,1596.2,0.338
7,3,0,12,0,secondary,647.1,0.926
16,2,0,7,1,trunk,695.0,1.0
8,2,0,5,0,secondary,285.3,1.0
17,6,1,12,0,secondary,423.5,0.744
23,3,0,5,0,trunk,1954.4,0.128
3,6,1,4,0,tertiary,493.6,0.051
5,2,0,1,0,trunk,296.8,0.226
9,5,1,3,0,residential,250.0,0.28
0,4,0,5,0,residential,983.5,0.05
8,6,1,8,1,primary,1653.1,0.592
2,4,0,11,1,primary,345.9,0.111
7,0,0,9,1,residential,1232.3,0.949
7,6,1,9,1,residential,928.5,0.341
9,4,0,10,1,primary,1238.8,1.0
6,5,1,4,0,tertiary,1337.8,0.155
2,1,0,1,0,residential,928.5,0.078
19,3,0,5,0,primary,501.4,1.0
14,0,0,11,1,secondary,1851.6,0.794
20,4,0,11,1,secondary,879.0,0.882
4,0,0,1,0,secondary,1595.6,0.05
19,5,1,10,1,tertiary,906.3,0.653
8,4,0,9,1,residential,903.6,1.0
13,5,1,6,1,trunk,538.2,0.692
18,4,0,1,0,tertiary,1173.7,1.0
5,3,0,9,1,residential,1836.3,0.121
15,0,0,8,1,tertiary,846.3,0.762
3,6,1,3,0,tertiary,852.7,0.05
12,6,1,9,1,primary,936.9,0.647
10,0,0,7,1,trunk,1658.6,0.885
1,1,0,9,1,tertiary,1264.1,0.05
14,6,1,1,0,secondary,570.8,0.466
22,3,0,2,0,primary,1947.6,0.368
19,6,1,4,0,secondary,656.0,0.726
7,6,1,2,0,residential,1896.8,0.202
20,6,1,3,0,residential,1868.7,0.347
13,6,1,8,1,residential,525.3,0.58
12,1,0,10,1,trunk,1505.3,0.956
13,2,0,9,1,tertiary,1650.1,0.854
9,6,1,10,1,trunk,1997.9,0.66
11,2,0,9,1,trunk,785.6,1.0
6,5,1,4,0,trunk,796.8,0.2
10,5,1,8,1,residential,802.9,0.369
20,1,0,8,1,primary,296.2,1.0
14,0,0,9,1,residential,79.9,0.644
20,1,0,2,0,residential,1574.0,0.623
12,5,1,2,0,tertiary,1712.1,0.53
17,3,0,6,1,residential,1751.1,1.0
9,1,0,12,0,primary,896.2,1.0
3,6,1,11,1,primary,915.2,0.101
1,2,0,6,1,tertiary,889.8,0.059
13,4,0,11,1,secondary,381.5,0.891
7,3,0,10,1,secondary,502.8,1.0
14,2,0,11,1,primary,1802.9,0.855
2,3,0,6,1,trunk,633.4,0.158
22,2,0,8,1,tertiary,438.5,0.313
18,2,0,10,1,tertiary,1985.7,1.0
21,3,0,5,0,primary,1153.6,0.508
1,4,0,12,0,residential,1674.0,0.05
9,6,1,4,0,trunk,1613.8,0.506
8,5,1,12,0,secondary,1275.1,0.362
20,5,1,1,0,tertiary,1587.8,0.449
4,0,0,5,0,tertiary,1507.6,0.102
5,1,0,3,0,trunk,1759.1,0.171
8,6,1,3,0,tertiary,1832.4,0.308
15,6,1,5,0,tertiary,1618.3,0.418
7,6,1,11,1,residential,1936.2,0.27
11,0,0,7,1,primary,565.7,0.711
8,4,0,7,1,tertiary,261.3,1.0
0,4,0,9,1,tertiary,1834.7,0.153
22,2,0,11,1,residential,277.5,0.328
1,2,0,8,1,primary,239.5,0.128
21,5,1,12,0,trunk,867.3,0.433
23,5,1,3,0,residential,1327.1,0.14
8,0,0,12,0,tertiary,473.7,0.96
14,1,0,6,1,primary,1962.8,0.908
1,3,0,5,0,secondary,1938.0,0.05
14,0,0,11,1,secondary,1301.3,0.919
7,1,0,10,1,secondary,183.8,1.0
6,4,0,4,0,secondary,690.7,0.502
0,2,0,3,0,secondary,1103.4,0.148
5,0,0,11,1,primary,307.0,0.26
0,1,0,5,0,primary,297.2,0.05
13,4,0,2,0,primary,978.7,0.821
3,3,0,9,1,secondary,1893.6,0.05
21,4,0,5,0,residential,1304.5,0.598
12,3,0,11,1,primary,1006.0,1.0
2,0,0,6,1,trunk,339.3,0.05
22,2,0,7,1,trunk,1084.6,0.386
19,3,0,2,0,primary,1712.9,1.0
23,6,1,4,0,residential,930.5,0.05
7,3,0,6,1,residential,827.5,0.926
8,2,0,3,0,residential,180.9,0.975
2,0,0,7,1,primary,1501.9,0.094
17,4,0,6,1,primary,851.1,1.0
13,6,1,12,0,primary,1938.4,0.475
18,4,0,4,0,secondary,1330.6,1.0
7,6,1,2,0,tertiary,1698.5,0.159
18,1,0,7,1,trunk,1950.4,1.0
19,5,1,11,1,trunk,101.2,1.0
5,2,0,12,0,tertiary,1847.0,0.138
11,0,0,3,0,secondary,1154.3,0.603
20,0,0,2,0,trunk,469.5,0.856
13,3,0,6,1,secondary,771.6,0.998
2,0,0,3,0,secondary,1521.1,0.05
1,5,1,2,0,tertiary,914.1,0.05
13,2,0,4,0,trunk,271.9,0.871
13,0,0,5,0,trunk,998.9,0.832
12,4,0,1,0,primary,448.6,0.729
6,6,1,3,0,tertiary,614.4,0.181
13,1,0,3,0,residential,1088.5,0.67
7,4,0,9,1,tertiary,190.5,1.0
2,6,1,6,1,trunk,887.1,0.088
20,3,0,5,0,primary,839.8,0.84
19,3,0,12,0,tertiary,221.9,0.954
3,1,0,7,1,trunk,830.9,0.135
7,2,0,3,0,primary,1045.4,1.0
3,4,0,9,1,secondary,1816.5,0.062
4,1,0,2,0,secondary,549.1,0.05
5,4,0,3,0,primary,395.4,0.211
18,6,1,10,1,residential,1378.2,0.723
20,5,1,10,1,tertiary,1735.3,0.529
14,5,1,5,0,tertiary,1203.3,0.418
11,4,0,2,0,tertiary,950.4,0.622
9,0,0,11,1,primary,1249.3,1.0
14,4,0,9,1,primary,927.0,0.917
15,4,0,3,0,primary,928.5,0.747
10,5,1,2,0,trunk,1309.9,0.496
14,4,0,9,1,trunk,359.6,0.901
9,3,0,7,1,tertiary,1373.9,0.973
10,0,0,9,1,residential,604.1,0.728
21,4,0,3,0,tertiary,208.9,0.402
9,5,1,12,0,residential,301.5,0.18
22,0,0,5,0,trunk,784.5,0.374
21,5,1,12,0,trunk,232.2,0.304
21,3,0,9,1,tertiary,85.5,0.592
15,1,0,4,0,secondary,352.1,0.711
9,6,1,2,0,trunk,1553.2,0.553
1,5,1,6,1,trunk,305.5,0.05
5,1,0,12,0,trunk,1627.6,0.237
13,2,0,11,1,secondary,1940.7,1.0
23,6,1,8,1,secondary,1091.3,0.169
6,2,0,11,1,trunk,1969.7,0.554
9,6,1,7,1,trunk,1078.5,0.732
4,6,1,5,0,primary,1300.3,0.05
11,4,0,2,0,trunk,1709.8,0.681
8,3,0,9,1,secondary,1670.5,1.0
7,6,1,8,1,tertiary,1864.4,0.226
12,0,0,6,1,secondary,105.0,0.978
22,5,1,6,1,secondary,318.3,0.304
4,6,1,12,0,residential,924.8,0.05
0,0,0,1,0,tertiary,470.5,0.128
19,4,0,7,1,primary,1563.5,1.0
3,0,0,4,0,residential,1296.0,0.05
15,4,0,9,1,primary,1282.3,0.984
22,1,0,5,0,residential,53.1,0.223
5,5,1,11,1,primary,1070.8,0.182
16,4,0,9,1,trunk,1130.6,1.0
11,2,0,12,0,primary,746.3,0.688
2,2,0,4,0,primary,1554.4,0.063
1,2,0,9,1,tertiary,1636.3,0.05
21,3,0,12,0,residential,1281.9,0.427
14,0,0,5,0,secondary,135.4,0.633
6,0,0,6,1,tertiary,1055.0,0.525
20,1,0,5,0,tertiary,1731.2,0.68
1,6,1,11,1,tertiary,582.8,0.05
14,3,0,6,1,secondary,1017.6,0.832
16,2,0,2,0,residential,203.9,0.661
17,2,0,6,1,primary,206.1,1.0
9,3,0,10,1,residential,375.0,0.941
11,4,0,7,1,tertiary,1297.0,0.795
1,0,0,11,1,residential,758.5,0.05
4,6,1,10,1,residential,117.9,0.05
20,2,0,6,1,residential,1901.5,0.73
11,2,0,8,1,primary,1169.1,0.895
12,2,0,11,1,tertiary,536.7,0.712
12,4,0,2,0,tertiary,1561.2,0.574
22,3,0,4,0,trunk,606.9,0.4
3,1,0,2,0,residential,386.7,0.05
22,3,0,2,0,tertiary,1352.3,0.272
9,2,0,3,0,secondary,1597.7,1.0
16,1,0,2,0,secondary,1594.5,0.88
11,4,0,10,1,tertiary,961.4,0.86
4,4,0,2,0,primary,653.1,0.188
16,3,0,7,1,trunk,193.8,1.0
20,0,0,8,1,residential,1376.2,0.821
20,4,0,3,0,secondary,893.6,0.69
1,6,1,2,0,trunk,348.4,0.093
22,1,0,6,1,trunk,1795.1,0.512
8,1,0,11,1,trunk,585.2,1.0
20,1,0,10,1,trunk,350.7,1.0
23,4,0,6,1,trunk,130.3,0.335
18,2,0,11,1,secondary,1545.6,1.0
20,0,0,8,1,trunk,614.9,1.0
21,3,0,5,0,residential,192.3,0.43
1,1,0,8,1,residential,994.3,0.05
22,2,0,12,0,tertiary,1952.0,0.261
4,6,1,6,1,trunk,1145.2,0.05
7,1,0,2,0,primary,615.9,1.0
12,6,1,10,1,residential,534.1,0.595
18,5,1,6,1,secondary,1538.1,1.0
16,3,0,8,1,tertiary,1019.9,0.864
7,1,0,10,1,tertiary,144.9,0.958
19,6,1,11,1,residential,607.2,0.567
8,5,1,6,1,residential,763.6,0.312
18,4,0,4,0,tertiary,1128.8,1.0
17,2,0,10,1,trunk,281.7,1.0
12,2,0,6,1,trunk,1880.9,1.0
16,0,0,1,0,primary,317.2,1.0
10,6,1,8,1,trunk,941.1,0.494
19,2,0,3,0,residential,1981.7,0.876
23,6,1,5,0,trunk,705.9,0.169
22,4,0,5,0,residential,1640.7,0.208
11,2,0,11,1,primary,1960.8,0.884
22,5,1,1,0,trunk,975.5,0.175
20,6,1,10,1,trunk,493.7,0.486
23,4,0,7,1,secondary,1652.2,0.183
18,5,1,2,0,secondary,86.9,0.769
22,1,0,7,1,trunk,1561.2,0.508
23,5,1,1,0,secondary,1061.4,0.05
15,4,0,7,1,tertiary,1915.5,0.76
17,2,0,9,1,tertiary,1367.9,1.0
8,4,0,8,1,secondary,1916.8,1.0
9,1,0,5,0,tertiary,1424.6,0.879
15,2,0,9,1,tertiary,611.2,0.795
17,3,0,7,1,tertiary,1911.5,1.0
22,0,0,6,1,residential,1329.1,0.387
6,1,0,9,1,tertiary,1869.4,0.572
18,1,0,4,0,primary,1356.2,1.0
16,1,0,11,1,secondary,152.4,1.0
4,0,0,9,1,secondary,843.5,0.116
15,3,0,11,1,secondary,1524.0,0.856
2,5,1,10,1,secondary,1093.5,0.099
1,1,0,7,1,secondary,1871.1,0.115
5,5,1,5,0,primary,68.1,0.05
18,4,0,2,0,tertiary,604.9,1.0
15,1,0,9,1,residential,582.0,0.813
10,1,0,12,0,residential,1314.2,0.576
10,6,1,5,0,trunk,1365.1,0.412
6,1,0,10,1,residential,1662.6,0.525
5,1,0,8,1,tertiary,1874.9,0.229
12,1,0,8,1,tertiary,1910.4,0.752
20,2,0,12,0,secondary,171.1,0.743
3,3,0,5,0,secondary,840.6,0.05
22,6,1,5,0,primary,1295.5,0.241
9,2,0,10,1,secondary,477.3,1.0
19,2,0,7,1,trunk,1830.0,1.0
21,6,1,4,0,secondary,1376.7,0.277
16,3,0,9,1,tertiary,202.3,0.972
1,6,1,9,1,trunk,444.2,0.138
14,0,0,11,1,secondary,1448.0,0.895
16,3,0,1,0,residential,307.3,0.679
17,3,0,11,1,tertiary,1460.4,1.0
0,5,1,4,0,trunk,192.4,0.05
17,0,0,2,0,residential,111.9,1.0
13,1,0,3,0,residential,780.2,0.672
12,3,0,2,0,trunk,309.3,0.736
11,0,0,3,0,trunk,816.5,0.797
0,6,1,1,0,tertiary,952.9,0.157
23,4,0,7,1,trunk,789.6,0.168
6,5,1,2,0,primary,1628.5,0.169
13,4,0,1,0,secondary,451.9,0.761
19,5,1,12,0,primary,527.2,0.818
1,3,0,8,1,secondary,1102.5,0.087
9,1,0,12,0,trunk,671.9,1.0
19,6,1,11,1,tertiary,512.0,0.796
13,2,0,5,0,primary,1135.6,0.805
18,5,1,3,0,residential,1133.9,0.616
20,5,1,7,1,trunk,671.5,0.614
4,2,0,7,1,secondary,1521.1,0.149
22,1,0,8,1,primary,1146.7,0.435
17,4,0,3,0,residential,523.6,0.989
14,6,1,6,1,primary,1094.5,0.706
1,2,0,7,1,trunk,1225.7,0.127
23,5,1,9,1,secondary,984.8,0.248
10,2,0,1,0,secondary,1877.5,0.712
15,1,0,12,0,trunk,1422.3,0.806
12,1,0,9,1,tertiary,1562.3,0.722
8,2,0,9,1,residential,958.7,1.0
23,3,0,6,1,secondary,772.9,0.151
4,0,0,5,0,trunk,1872.8,0.098
18,5,1,7,1,tertiary,347.2,0.679
15,4,0,11,1,tertiary,551.8,0.963
23,5,1,12,0,residential,948.6,0.1
4,5,1,9,1,residential,408.9,0.05
20,0,0,9,1,primary,1686.2,0.916
0,3,0,3,0,secondary,182.5,0.05
4,0,0,4,0,trunk,939.2,0.178
19,3,0,11,1,residential,80.7,1.0
13,0,0,1,0,trunk,1458.3,0.8
16,6,1,12,0,residential,1622.0,0.432
5,0,0,2,0,trunk,340.4,0.232
11,2,0,7,1,primary,777.5,0.882
18,1,0,12,0,secondary,635.0,1.0
20,6,1,1,0,primary,840.3,0.454
12,4,0,8,1,primary,1291.7,1.0
20,6,1,6,1,trunk,1955.8,0.73
16,0,0,4,0,secondary,1807.5,0.852
8,0,0,2,0,tertiary,1803.7,0.96
18,5,1,1,0,secondary,1861.1,0.73
18,1,0,12,0,residential,1861.3,1.0
9,1,0,10,1,secondary,1155.1,1.0
12,6,1,12,0,secondary,1591.5,0.444
22,5,1,2,0,trunk,1503.6,0.239
7,6,1,2,0,tertiary,1230.1,0.235
19,4,0,7,1,tertiary,107.8,1.0
11,4,0,7,1,residential,412.2,0.667
12,0,0,10,1,tertiary,1606.2,0.856
22,6,1,11,1,secondary,1492.3,0.283
3,0,0,1,0,tertiary,917.2,0.059
2,1,0,7,1,residential,1136.1,0.05
3,0,0,2,0,tertiary,1130.7,0.05
12,0,0,5,0,residential,806.2,0.527
2,5,1,9,1,secondary,1165.3,0.052
9,2,0,8,1,secondary,173.4,1.0
13,2,0,8,1,primary,754.2,1.0
19,1,0,8,1,primary,314.2,1.0
12,2,0,10,1,residential,1617.9,0.646
20,4,0,3,0,tertiary,675.3,0.769
22,1,0,8,1,tertiary,396.4,0.316
20,3,0,10,1,secondary,685.5,0.962
12,2,0,2,0,trunk,439.6,0.801
17,0,0,12,0,residential,1888.8,0.967
6,3,0,5,0,primary,1647.0,0.487
15,1,0,11,1,tertiary,521.9,0.816
22,3,0,7,1,primary,925.7,0.378
22,3,0,9,1,primary,1591.9,0.377
17,4,0,11,1,primary,263.3,1.0
19,0,0,10,1,residential,1935.3,1.0
13,0,0,1,0,primary,554.5,0.75
18,5,1,10,1,secondary,919.3,0.945
21,4,0,12,0,trunk,344.0,0.617
9,3,0,2,0,primary,1671.1,1.0
23,1,0,6,1,tertiary,719.0,0.138
3,3,0,12,0,residential,671.9,0.05
9,0,0,12,0,primary,94.0,1.0
5,5,1,4,0,trunk,390.2,0.132
5,2,0,9,1,residential,1919.0,0.158
20,5,1,7,1,residential,106.9,0.49
6,3,0,10,1,residential,808.2,0.505
2,4,0,2,0,trunk,414.6,0.15
10,1,0,8,1,primary,561.6,0.939
19,3,0,10,1,residential,1194.7,1.0
14,4,0,3,0,tertiary,1841.4,0.535
10,0,0,4,0,tertiary,278.1,0.592
11,5,1,3,0,trunk,807.5,0.436
13,1,0,8,1,trunk,1402.2,1.0
5,4,0,3,0,residential,613.2,0.194
19,0,0,6,1,primary,995.0,1.0
12,4,0,9,1,residential,847.8,0.707
5,0,0,10,1,primary,1602.0,0.184
1,2,0,4,0,trunk,612.9,0.082
15,4,0,9,1,primary,1166.8,0.861
17,6,1,6,1,trunk,1654.1,1.0
13,0,0,12,0,secondary,630.5,0.688
1,3,0,5,0,tertiary,1731.3,0.143
3,6,1,4,0,secondary,1630.9,0.115
18,5,1,6,1,trunk,1283.9,1.0
6,6,1,1,0,trunk,734.1,0.194
8,4,0,9,1,secondary,681.1,1.0
16,5,1,2,0,secondary,1927.4,0.563
13,0,0,5,0,secondary,1417.8,0.769
10,6,1,4,0,residential,1004.4,0.336
18,5,1,5,0,residential,781.6,0.651
2,3,0,9,1,tertiary,1404.7,0.119
14,3,0,6,1,trunk,54.8,0.961
14,5,1,11,1,tertiary,1707.7,0.458
12,1,0,7,1,secondary,1014.7,0.81
4,4,0,8,1,tertiary,1793.6,0.184
1,0,0,11,1,residential,81.7,0.103
13,1,0,12,0,secondary,1770.2,0.796
9,1,0,5,0,primary,1326.4,1.0
20,1,0,1,0,residential,1269.9,0.678
23,5,1,4,0,residential,1328.2,0.104
15,0,0,3,0,trunk,491.1,0.81
21,3,0,1,0,primary,1406.4,0.601
13,5,1,3,0,residential,188.1,0.263
12,0,0,12,0,primary,251.2,0.714
12,6,1,3,0,secondary,183.4,0.531
18,0,0,10,1,secondary,908.2,1.0
13,4,0,11,1,residential,1726.9,0.689
3,1,0,2,0,trunk,1473.5,0.05
4,1,0,5,0,primary,533.9,0.151
19,4,0,12,0,trunk,605.6,1.0
21,2,0,4,0,trunk,1233.5,0.556
6,5,1,7,1,tertiary,1310.0,0.194
12,0,0,4,0,residential,1294.3,0.542
2,4,0,1,0,tertiary,1871.2,0.125
18,3,0,6,1,trunk,1381.7,1.0
2,0,0,10,1,primary,76.9,0.186
12,4,0,5,0,trunk,1545.9,0.713
13,5,1,7,1,primary,1299.0,0.659
2,4,0,4,0,secondary,1096.0,0.08
12,4,0,11,1,primary,654.8,0.95
7,0,0,7,1,primary,934.1,1.0
9,5,1,12,0,secondary,282.9,0.355
5,3,0,6,1,trunk,1058.6,0.208
8,1,0,6,1,secondary,1512.1,1.0
0,2,0,7,1,tertiary,1071.5,0.05
18,5,1,2,0,residential,937.6,0.534
18,1,0,6,1,secondary,547.5,1.0
18,5,1,12,0,primary,495.4,0.921
0,1,0,1,0,residential,759.8,0.052
4,1,0,1,0,trunk,1616.1,0.096
7,2,0,4,0,residential,1835.9,0.644
10,2,0,2,0,trunk,777.0,0.662
5,1,0,9,1,primary,1910.5,0.226
14,6,1,5,0,tertiary,688.2,0.397
6,2,0,10,1,tertiary,1492.2,0.47
11,4,0,8,1,secondary,1478.3,0.798
13,0,0,4,0,trunk,725.5,0.813
22,0,0,6,1,primary,1529.9,0.406
6,4,0,4,0,residential,1009.5,0.325
1,1,0,12,0,tertiary,231.4,0.151
16,3,0,12,0,tertiary,944.0,0.754
23,0,0,10,1,primary,1035.6,0.156
1,3,0,11,1,secondary,511.7,0.115
10,6,1,7,1,tertiary,670.2,0.438
18,0,0,3,0,primary,370.5,1.0
14,2,0,7,1,primary,1095.1,0.987
8,6,1,2,0,primary,357.3,0.437
21,2,0,12,0,trunk,128.6,0.583
2,5,1,4,0,tertiary,822.7,0.05
1,5,1,5,0,tertiary,1649.2,0.114
14,4,0,12,0,trunk,537.2,0.837
14,0,0,3,0,primary,73.3,0.771
4,1,0,7,1,tertiary,1388.3,0.05
2,4,0,10,1,tertiary,1839.0,0.098
20,3,0,3,0,primary,1814.9,0.809
10,0,0,1,0,residential,148.7,0.625
23,3,0,8,1,primary,796.3,0.174
11,1,0,3,0,tertiary,595.7,0.585
19,4,0,4,0,tertiary,1022.8,0.951
17,3,0,1,0,primary,595.6,1.0
16,1,0,11,1,trunk,1600.0,1.0
22,2,0,8,1,trunk,1573.8,0.381
8,1,0,1,0,tertiary,1214.4,1.0
0,6,1,5,0,primary,1626.9,0.05
18,1,0,3,0,primary,533.3,1.0
7,2,0,9,1,primary,1539.9,1.0
12,2,0,3,0,secondary,511.3,0.622
10,6,1,12,0,tertiary,1832.3,0.421
18,4,0,3,0,trunk,1899.3,1.0
15,4,0,5,0,secondary,1006.4,0.756
7,0,0,9,1,residential,51.3,1.0
6,6,1,3,0,tertiary,1448.0,0.222
10,0,0,1,0,secondary,1193.9,0.64
4,6,1,2,0,trunk,1728.3,0.117
21,3,0,10,1,primary,706.3,0.634
5,5,1,7,1,residential,1315.9,0.172
19,6,1,6,1,secondary,1347.8,0.892
12,2,0,12,0,tertiary,298.3,0.616
18,3,0,10,1,primary,405.1,1.0
19,1,0,11,1,trunk,253.0,1.0
11,2,0,3,0,primary,1652.2,0.693
21,5,1,12,0,tertiary,920.9,0.318
2,2,0,5,0,primary,1454.8,0.105
1,3,0,8,1,residential,1939.7,0.05
17,3,0,2,0,residential,1588.0,0.97
18,5,1,11,1,secondary,367.2,0.899
10,2,0,2,0,primary,716.5,0.708
12,1,0,12,0,primary,1116.7,0.76
19,4,0,8,1,primary,891.1,1.0
19,3,0,3,0,primary,247.5,1.0
22,4,0,12,0,trunk,567.3,0.381
9,2,0,4,0,primary,146.8,1.0
4,0,0,6,1,primary,883.8,0.087
21,5,1,10,1,residential,439.4,0.345
2,3,0,2,0,tertiary,1580.5,0.094
15,3,0,11,1,tertiary,227.7,0.884
11,1,0,8,1,primary,563.4,0.932
7,6,1,5,0,trunk,170.2,0.361
2,5,1,6,1,trunk,857.3,0.05
7,4,0,1,0,residential,1645.9,0.661
15,4,0,4,0,residential,632.8,0.639
12,6,1,12,0,primary,1029.1,0.613
21,4,0,3,0,primary,1901.0,0.487
14,1,0,3,0,secondary,1626.5,0.687
21,3,0,4,0,secondary,1676.5,0.537
8,2,0,12,0,primary,219.7,1.0
8,4,0,8,1,primary,1583.8,1.0
16,6,1,7,1,primary,858.2,0.577
3,0,0,10,1,primary,1582.2,0.05
11,3,0,5,0,residential,1326.8,0.474
5,2,0,7,1,secondary,1255.6,0.22
12,0,0,7,1,tertiary,1396.5,0.666
11,0,0,6,1,tertiary,656.4,0.784
22,5,1,2,0,secondary,312.1,0.278
10,2,0,12,0,residential,1229.7,0.569
2,1,0,8,1,secondary,1831.2,0.05
11,6,1,1,0,trunk,1593.4,0.496
2,2,0,12,0,trunk,836.6,0.082
18,0,0,3,0,secondary,1756.6,1.0
6,6,1,1,0,secondary,114.5,0.195
6,2,0,6,1,residential,1035.0,0.489
3,5,1,1,0,secondary,776.3,0.05
15,4,0,9,1,tertiary,721.3,0.884
8,5,1,12,0,primary,605.9,0.373
18,6,1,4,0,secondary,1312.4,0.799
21,1,0,5,0,residential,1050.9,0.506
21,0,0,8,1,secondary,1312.4,0.542
0,1,0,5,0,trunk,1619.9,0.05
20,2,0,7,1,residential,1710.6,0.903
6,3,0,5,0,trunk,1657.4,0.471
16,5,1,6,1,trunk,1312.3,0.768
9,5,1,2,0,residential,174.5,0.346
8,2,0,11,1,tertiary,417.3,1.0
7,0,0,10,1,residential,1338.0,0.919
9,2,0,7,1,residential,807.1,0.844
